Name of Hospital,Location,Class
Caloocan City Medical Center,"450 A. Mabini St., Caloocan City",LGU
Ospital ng Malabon,"F. Sevilla Boulevard, Tañong, Malabon City",LGU
San Lorenzo Ruiz General Hospital,"O. Reyes St., Rosita Subdivision, Santulan, Malabon City",DOH Retained
Gat Andres Bonifacio Memorial Medical Center,"8001 Delpan St., Tondo, Manila",LGU
Ospital ng Tondo,"Jose Abad Santos Avenue, Tondo, Manila",LGU
Justice Jose Abad Santos General Hospital,"Numancia St., Binondo, Manila",LGU
Ospital ng Sampaloc,"677 Geronimo St., cor. Carola St., Sampaloc, Manila",LGU
Navotas City Hospital,"M. Naval St., Brgy. San Jose, Navotas City",LGU
Ospital ng Parañaque,"0440 Quirino Ave., La Huerta, Parañaque City",LGU
Ospital ng Parañaque District II,"187 Taiwan Extension Corner Doña Soledad Avenue, Don Bosco, Parañaque City",LGU
Novaliches District Hospital,"Quirino Highway, San Bartolome, Novaliches, Quezon City",LGU
San Juan Medical Center,"N. Domingo St., San Juan City",LGU
Army General Hospital,"Fort Andres Bonifacio, Taguig City",AFP
Manila Naval Hospital,"Naval Station, Jose Francisco, Fort Bonifacion, Taguig City",AFP
Taguig-Pateros District Hospital,"East Service Road, Western Bicutan, Taguig",LGU
Santa Ana Hospital,"New Panaderos St., Sta. Ana, Manila",LGU
Mandaluyong City Medical Center,"605 Boni Avenue, Mandaluyong City",LGU
Air Force General Hospital,"Gozar St., Colonel Jesus Villamor Air Base, Pasay City",PAF
Pasig City Children's Hospital – Child's Hope,"Industria St. cor. Alcalde Jose St., Kapasigan, Pasig City",LGU
PNP General Hospital,"Camp Crame, Quezon City",PNP
Rosario Maclang Bautista General Hospital,"IBP Road, Batasan Hills, District 2, Quezon City",LGU
Dr. Jose N. Rodriguez Memorial Hospital and Sanitarium,"St. Joseph Avenue (Dr. Uyguanco Street), Tala, Caloocan City",DOH Retained
Las Piñas General Hospital and Satellite Trauma Center,"Bernabe Compound, Pulanglupa, Las Piñas City",DOH Retained
Dr. Jose Fabella Memorial Hospital,"Lope de Vega St., Sta. Cruz, Manila",DOH Retained
Jose R. Reyes Memorial Medical Center,"San Lazaro Compound, Rizal Avenue, Sta. Cruz, Manila",DOH Retained
San Lazaro Hospital,"Quiricada St., Sta. Cruz, Manila",DOH Retained
Tondo Medical Center,"Honorio Lopez Boulevard., Balut, Tondo, Manila",DOH Retained
Philippine General Hospital,"Taft Avenue, Ermita, Manila",University
Ospital ng Maynila Medical Center,"Pres. Quirino Avenue, cor. Roxas Blvd., Malate, Manila",LGU
National Center for Mental Health,"#9 De Febrero St., Mandaluyong City",DOH Retained
Ospital ng Makati,"Sampaguita St. cor. Gumamela St., Brgy. Pembo, Makati City",LGU
Amang Rodriguez Memorial Medical Center,"Sumulong Highway, Brgy. Sto. Niño, Marikina City",DOH Retained
Ospital ng Muntinlupa,"Civic Drive, Filinvest Corporate City, Alabang, Muntinlupa City",LGU
Research Institute for Tropical Medicine,"Filinvest Corporate City, Alabang, Muntinlupa City",DOH Retained
Pasay City General Hospital,"P. Burgos St., Pasay City",LGU
Rizal Medical Center,"Pasig Boulevard, Bagong Ilog, Pasig City",DOH Retained
Pasig City General Hospital,"M. Eusebio Avenue, Maybunga, Pasig City",LGU
Veterans Memorial Medical Center,"North Avenue, Diliman, Quezon City",DND
Philippine Heart Center,"East Avenue, Diliman, Quezon City",GOCC
National Kidney and Transplant Institute,"East Avenue, Diliman, Quezon City",GOCC
Philippine Children's Medical Center,"Quezon Avenue corner Senator Miriam P. Defensor-Santiago Avenue, Diliman, Quezon City",GOCC
Victoriano Luna Medical Center,"V. Luna Road, Quezon City",AFP
East Avenue Medical Center,"East Avenue, Quezon City",DOH Retained
Philippine Orthopedic Center,"Ma. Clara St. cor. Banawe St., Quezon City",DOH Retained
Quezon City General Hospital,"Seminary Road, EDSA, Quezon City",LGU
Lung Center of the Philippines,"Quezon Avenue, Quezon City",GOCC
National Children’s Hospital,"#226 E. Rodriguez Sr. Boulevard, Quezon City",DOH Retained
Quirino Memorial Medical Center,"Katipunan Road, Project 4, Quezon City",DOH Retained
Valenzuela Medical Center,"Padrigal St., Karuhatan, Valenzuela City",DOH Retained
